Galaxy,Mobs_1265
UDS203722_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_008_1,-21.007247405202612
CDFS002584_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_021_2,-20.83606107415914
CDFS015555_P4M2Q1_P4M3Q1_006_1,-21.81130137115859
UDS015507_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_004_2,-21.071999458808634
UDS303309_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_011_1,-20.9495149426326
CDFS025828_P2M3Q2_P2M4Q2_013_1,-21.847889140640824
UDS002096_P2M1Q4_P2M2Q4_002_2,-21.906150836307305
UDS013500_P2M1Q1_P2M4Q1_P3M1Q2_P3M2Q2_002_1,-21.020698084940992
UDS151133_P1M2Q4_020_2,-21.73237831670331
UDS026287_P1M3Q2_P4M4Q1_P1M1Q2_P1M4Q2_P1M2Q2_001_2,-20.50073482082824
UDS026179_P2M3Q2_P2M4Q2_015_1,-21.291643059761935
CDFS006417_P2M4Q4_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,-20.430451293815505
CDFS208015_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_002_2,-20.50255435679212
CDFS231741_P2M3Q1_P2M4Q1_012_1,-20.40287285315214
UDS306754_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_005_1,-20.381943128794454
CDFS238431_P3M3Q1_P3M2Q1_009_1,-22.06604311843343
CDFS019568_P1M4Q2_P2M1Q2_007_1,-20.766775066635986
CDFS123006_P2M3Q2_P4M1Q2_P4M4Q2_P2M2Q2_P4M2Q2_P4M3Q2_001_1,-20.70353293631244
CDFS141027_P2M2Q1_P2M3Q1_001_2,-21.759302719843337
CDFS129887_P2M3Q1_P2M4Q1_014_1,-21.537009219388874
CDFS247534_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_011_1,-21.356515786521204
CDFS101998_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_015_2,-20.780638185419843
CDFS005891_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_007_1,-20.95096718287444
CDFS246390_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_007_2,-20.61390937632337
CDFS023037_P1M1Q2_P1M2Q2_P1M3Q2_P1M4Q2_007_1,-20.844741454415374
CDFS115905_P1M1Q3_P1M4Q3_017_1,-22.221826574675433
CDFS226606_P2M1Q1_040_1,-20.9342593168269
UDS395442_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_010_2,-21.11587244470816
CDFS208175_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_009_1,-20.949958140146244
UDS003664_P1M1Q4_010_1,-22.034722075556946
UDS009473_P4M2Q4_P1M1Q3_P4M4Q4_001_1,-20.904091422485934
CDFS131961_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_002_1,-20.94602810730637
UDS149311_P1M1Q3_P1M2Q3_040_1,-21.63384350853508
CDFS113988_P3M1Q4_040_1,-21.900789140428163
UDS205390_P1M3Q1_P1M4Q1_012_1,-21.735115151512307
CDFS107428_P1M2Q4_P1M3Q4_011_1,-21.915887148536378
CDFS122324_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_002_2,-20.505314121723945
CDFS002312_P3M4Q4_017_1,-20.242137940251165
CDFS212043_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_013_2,-20.62005489159289
UDS200677_P3M2Q1_P3M4Q1_P3M1Q1_P1M4Q1_P1M1Q1_001_1,-21.524715017646532
CDFS023527_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_006_2,-21.15729576459467
UDS389704_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_005_1,-20.949434547562007
CDFS103010_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_018_2,-20.221820764429868
CDFS140458_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_009_1,-20.893950033858843
CDFS005058_P2M4Q4_P3M2Q4_002_1,-20.59664220548764
CDFS019593_P1M4Q1_P2M1Q1_004_3,-20.259425564324992
CDFS013340_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_001_1,-20.406766112811624
UDS003712_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_002_1,-21.157564075137103
CDFS005198_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_006_1,-21.712295454730803
CDFS018372_P1M1Q2_P1M4Q2_P2M1Q2_P2M3Q2_001_1,-20.854674156244307
UDS300605_P1M1Q3_P1M2Q3_P2M1Q4_P2M2Q4_001_1,-21.451393494942355
UDS402843_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_009_2,-21.55201308961334
CDFS102433_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_007_2,-21.45710579678085
UDS192540_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_010_1,-21.365338028220194
CDFS006520_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_011_1,-20.848083022358107
UDS284955_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_013_1,-21.764464810388077
CDFS133598_P3M1Q1_P2M4Q1_P3M2Q1_P1M1Q1_001_1,-21.267696805825704
UDS293880_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_004_1,-22.063127130752562
UDS193216_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_005_1,-21.03552235259357
UDS018574_P2M4Q1_P3M1Q2_004_2,-22.11708328867223
CDFS130840_P3M3Q1_P3M2Q1_004_2,-21.192837237258694
CDFS132586_P1M3Q1_P3M1Q1_P1M4Q1_P1M1Q1_001_1,-21.08967161192198
CDFS105315_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_021_1,-20.419534742376054
CDFS024133_P3M3Q2_P3M2Q2_P3M1Q2_P3M4Q2_007_1,-20.332457125269784
CDFS228618_P4M1Q1_P2M4Q1_006_1,-21.565596683841452
CDFS007541_P3M1Q4_P1M1Q4_P3M2Q4_P3M3Q4_001_1,-21.59711117767823
CDFS025472_P4M2Q1_P4M4Q1_P4M3Q1_P1M1Q1_001_1,-20.87683737885257
CDFS000321_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_001_1,-19.71816758259106
UDS141491_P2M2Q4_P2M3Q4_003_1,-21.95449030365521
CDFS017345_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_010_1,-21.679516900188663
CDFS221651_P1M1Q3_P1M3Q3_P1M4Q3_007_1,-20.563462426979598
CDFS138745_P1M4Q2_P3M4Q2_001_1,-21.367107877761764
CDFS020014_P1M1Q2_P3M1Q2_P2M4Q2_P2M1Q2_001_1,-21.475508334573696
CDFS119091_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_008_1,-21.957072245444532
UDS150237_P4M2Q3_P4M3Q3_018_1,-21.922431797561202
CDFS231194_P3M4Q1_026_1,-21.996393834658956
CDFS019276_P3M3Q2_P3M2Q2_001_1,-21.763741329110953
UDS002072_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_002_3,-21.61828112571255
CDFS208053_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_025_1,-20.92227107758535
UDS146648_P1M2Q4_P1M3Q4_007_1,-21.439369712872
CDFS002296_P1M2Q4_P4M1Q4_001_1,-21.617448672055925
UDS019181_P4M4Q2_P2M2Q2_P2M1Q2_001_1,-20.519808550549765
CDFS020583_P4M4Q2_P4M3Q2_P1M4Q2_P2M1Q2_001_1,-20.290090850569506
UDS013664_P2M1Q1_P2M2Q1_P2M4Q1_007_1,-20.966038314271767
UDS197598_P2M1Q2_P2M4Q2_012_1,-22.08028156511826
UDS000330_P4M4Q3_P4M3Q3_001_1,-21.969645260556455
CDFS106745_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_023_1,-20.904157938221665
UDS000800_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_002_2,-21.013968030729465
CDFS000814_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,-20.226390838659515
UDS378854_P1M1Q2_P1M2Q2_P1M3Q2_P1M4Q2_002_1,-21.571966374744097
CDFS128455_P1M3Q2_P1M4Q2_014_1,-21.851601631994605
CDFS105360_P3M2Q4_031_2,-21.449968451209912
CDFS129134_P4M1Q2_P4M2Q2_P1M1Q2_P1M4Q2_001_1,-21.002001572526762
UDS295074_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_014_1,-21.703528817491367
CDFS101861_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_014_1,-21.069235061257878
UDS027014_P3M1Q1_P3M2Q1_009_1,-21.318065016707045
UDS143762_P4M1Q4_033_1,-22.18436794731176
UDS021975_P2M1Q2_P2M2Q2_P2M3Q2_P2M4Q2_014_1,-21.105869369737633
UDS157594_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_007_2,-20.697699704353624
UDS021526_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_002_2,-20.653167969162826
UDS014660_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_003_1,-21.47790722832866
CDFS107694_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_006_1,-21.205109723569223
CDFS016098_P4M4Q1_P2M1Q1_001_1,-20.634346299208595
CDFS101596_P4M3Q3_019_1,-21.97692415464054
UDS150302_P1M4Q4_P3M1Q4_001_1,-22.183970934120516
UDS383959_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_009_2,-21.089079652329684
CDFS009134_P3M3Q3_P3M4Q3_001_2,-20.72074097790245
CDFS023836_P4M4Q2_020_1,-21.07710544553313
CDFS203169_P4M2Q4_P4M1Q4_002_2,-21.782368484341234
CDFS018915_P4M4Q1_P3M2Q1_001_1,-20.652771563779414
CDFS018882_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_004_1,-20.49628191105605
UDS019380_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_002_1,-21.703364808426333
CDFS241007_P3M3Q2_P3M4Q2_002_1,-20.449476879736856
CDFS113741_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_010_1,-21.240072525274808
UDS023283_P3M3Q2_P3M2Q2_P3M1Q2_P3M4Q2_001_2,-20.712304190058067
UDS002893_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_002_2,-21.484156918511882
UDS019988_P1M1Q2_P1M2Q2_P2M1Q1_P3M2Q2_001_1,-20.45551135591853
UDS002133_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_002_1,-20.388585347289716
CDFS108676_P1M1Q4_P1M4Q4_P2M1Q4_P2M4Q4_001_1,-21.267283856049886
UDS148005_P4M2Q3_P4M3Q3_017_1,-21.581613940116153
CDFS004717_P1M1Q3_P1M2Q3_P2M1Q3_P2M4Q3_001_1,-21.226937642094622
CDFS131717_P1M4Q1_024_1,-21.646800682642358
CDFS137347_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_015_2,-21.168131737350816
CDFS224952_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_003_1,-20.843004129522054
CDFS122764_P2M3Q1_P2M4Q1_015_2,-21.86235581910241
CDFS132115_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_003_1,-21.056141675137535
UDS148558_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_017_1,-21.11371095730134
CDFS115673_P2M3Q3_P2M1Q3_P4M4Q3_P2M2Q3_P4M3Q3_P2M4Q3_001_1,-20.38001955170069
UDS020437_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_007_1,-21.36964368339121
CDFS023170_P1M3Q1_P1M4Q1_013_2,-21.63407852895537
UDS022130_P2M3Q1_P4M4Q1_P2M2Q1_P4M2Q1_P2M1Q1_P4M3Q1_P2M4Q1_001_2,-20.583990994872263
